Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
5284,13174,7886,2879,Lakshadweep,0,16053,16053,13174,13174,1100,11,4,15/04/2021
2,16,14,0,Lakshadweep,0,16,16,776,16,1,1,0,16/01/2021
796,3300,2504,1116,Lakshadweep,9,3291,4416,4268,3300,471,15,0,16/03/2021
5460,13529,8065,2917,Lakshadweep,0,16446,16446,13529,13529,1200,12,4,16/04/2021
349,1594,1245,19,Lakshadweep,0,1594,1613,2904,1594,41,13,0,17/02/2021
805,3342,2537,1144,Lakshadweep,9,3333,4486,4308,3342,482,15,0,17/03/2021
5780,14161,8378,2984,Lakshadweep,0,17145,17145,14161,14161,1400,14,3,17/04/2021
8,237,229,0,Lakshadweep,0,237,237,742,237,10,9,0,18/01/2021
359,1623,1264,51,Lakshadweep,0,1623,1674,2638,1623,49,13,0,18/02/2021
835,3480,2645,1295,Lakshadweep,9,3471,4775,4444,3480,485,15,0,18/03/2021
6213,14933,8717,3080,Lakshadweep,0,18013,18013,14933,14933,1000,10,3,18/04/2021
871,3544,2673,1363,Lakshadweep,9,3535,4907,4510,3544,488,15,0,19/03/2021
6371,15300,8926,3139,Lakshadweep,0,18439,18439,15300,15300,1000,10,3,19/04/2021
936,3628,2692,1487,Lakshadweep,9,3619,5115,4590,3628,489,15,0,20/03/2021
6516,15609,9090,3285,Lakshadweep,0,18894,18894,15609,15609,1000,10,3,20/04/2021
937,3632,2695,1489,Lakshadweep,9,3623,5121,4593,3632,489,15,0,21/03/2021
6827,16225,9395,3525,Lakshadweep,0,19750,19750,16225,16225,1100,11,3,21/04/2021
146,734,588,0,Lakshadweep,0,734,734,802,734,14,12,0,22/01/2021
964,3708,2744,1518,Lakshadweep,9,3699,5226,4670,3708,489,15,0,22/03/2021
6979,16523,9541,3617,Lakshadweep,0,20140,20140,16523,16523,1100,11,3,22/04/2021
146,734,588,0,Lakshadweep,0,734,734,887,734,14,12,0,23/01/2021
1003,3800,2797,1577,Lakshadweep,9,3791,5377,4761,3800,489,15,0,23/03/2021
7144,16836,9689,3708,Lakshadweep,0,20544,20544,16836,16836,1000,10,3,23/04/2021
161,749,588,0,Lakshadweep,0,749,749,1236,749,14,12,0,24/01/2021
1028,3874,2846,1608,Lakshadweep,9,3865,5482,4835,3874,493,15,0,24/03/2021
7376,17253,9874,3769,Lakshadweep,0,21022,21022,17253,17253,1100,11,3,24/04/2021
1048,3888,2840,1639,Lakshadweep,9,3879,5527,4849,3888,493,15,0,25/03/2021
7519,17538,10016,3825,Lakshadweep,0,21363,21363,17538,17538,1300,12,3,25/04/2021
414,1824,1410,107,Lakshadweep,4,1820,1931,2823,1824,55,13,0,26/02/2021
1087,3979,2892,1663,Lakshadweep,9,3970,5642,4939,3979,493,15,0,26/03/2021
7678,17843,10162,3889,Lakshadweep,0,21732,21732,17843,17843,1000,10,3,26/04/2021
153,765,612,0,Lakshadweep,0,765,765,1266,765,19,12,0,27/01/2021
1172,4169,2997,1683,Lakshadweep,9,4160,5852,5130,4169,496,15,0,27/03/2021
7779,17998,10217,3930,Lakshadweep,0,21928,21928,17998,17998,1200,12,2,27/04/2021
1196,4214,3018,1694,Lakshadweep,9,4205,5908,5176,4214,512,16,0,28/03/2021
1196,4214,3018,1694,Lakshadweep,9,4205,5908,5179,4214,513,16,0,29/03/2021
184,807,623,0,Lakshadweep,0,807,807,1287,807,19,12,0,30/01/2021
1228,4358,3130,1762,Lakshadweep,9,4349,6120,5324,4358,547,16,0,30/03/2021
184,807,623,0,Lakshadweep,0,807,807,1435,807,19,12,0,31/01/2021
1313,4562,3249,1797,Lakshadweep,9,4553,6359,5549,4562,572,18,0,31/03/2021
205542,286538,80992,0,Madhya Pradesh,0,286538,286538,457792,286538,6637,1592,4,01/02/2021
1353111,2921029,1567635,516221,Madhya Pradesh,223579,2697450,3437250,3106643,2921029,99062,6347,283,01/04/2021
205739,286868,81125,0,Madhya Pradesh,0,286868,286868,459801,286868,7373,1634,4,02/02/2021
297830,664726,366883,181761,Madhya Pradesh,120472,544254,846487,788208,664726,20736,2036,13,02/03/2021
1443819,3118920,1674797,522642,Madhya Pradesh,231342,2887578,3641562,3286013,3118920,102660,6395,304,02/04/2021
228612,319623,91007,0,Madhya Pradesh,0,319623,319623,501245,319623,7831,1642,4,03/02/2021
316141,706334,390174,201717,Madhya Pradesh,120473,585861,908051,831419,706334,22292,2044,19,03/03/2021
1511954,3269930,1757658,529103,Madhya Pradesh,247771,3022159,3799033,3465175,3269930,106368,6489,318,03/04/2021
236004,329571,93563,0,Madhya Pradesh,0,329571,329571,532593,329571,7992,1642,4,04/02/2021
337329,754152,416801,216379,Madhya Pradesh,120488,633664,970531,880601,754152,22619,2045,22,04/03/2021
1697721,3675945,1977803,538599,Madhya Pradesh,373561,3840983,4214544,3675945,3675945,190991,778,421,04/04/2021
236883,331316,94429,0,Madhya Pradesh,0,331316,331316,558960,331316,8093,1657,4,05/02/2021
340114,760376,420240,218325,Madhya Pradesh,120497,639879,978701,886208,760376,23876,2057,22,05/03/2021
1769793,3831368,2061133,544665,Madhya Pradesh,444884,3931149,4376033,3831368,3831368,416609,2360,442,05/04/2021
238046,332832,94782,0,Madhya Pradesh,0,332832,332832,576375,332832,8962,1791,4,06/02/2021
366083,817810,451693,232036,Madhya Pradesh,120498,697312,1049846,946132,817810,25490,2068,34,06/03/2021
1837489,3977455,2139507,550755,Madhya Pradesh,508381,4019829,4528210,3977455,3977455,414416,1999,459,06/04/2021
238484,333677,95189,0,Madhya Pradesh,0,333677,333677,582595,333677,9183,1829,4,07/02/2021
366947,819884,452903,232219,Madhya Pradesh,120498,699386,1052103,947140,819884,27014,2107,34,07/03/2021
2005206,4334898,2329211,567564,Madhya Pradesh,567777,4334685,4902462,4334898,4334898,590355,3590,481,07/04/2021
243128,369141,126007,0,Madhya Pradesh,14365,354776,369141,602862,369141,9500,1831,6,08/02/2021
392261,878269,485971,245103,Madhya Pradesh,121063,757206,1123372,1007161,878269,27837,2125,37,08/03/2021
2157893,4649680,2491279,583488,Madhya Pradesh,607953,4625215,5233168,4649680,4649680,479140,2771,508,08/04/2021
243652,373504,129846,0,Madhya Pradesh,16081,357423,373504,614056,373504,10102,1845,6,09/02/2021
394148,882265,488080,245740,Madhya Pradesh,121080,761185,1128005,1010826,882265,29819,2175,37,09/03/2021
2216665,4770269,2553081,591710,Madhya Pradesh,625339,4736640,5361979,4770269,4770269,423998,2072,523,09/04/2021
250586,427715,177123,0,Madhya Pradesh,39668,388047,427715,638559,427715,10797,1887,6,10/02/2021
420873,942537,521623,278253,Madhya Pradesh,122275,820262,1220790,1071265,942537,30818,2218,41,10/03/2021
2260414,4866494,2605546,598431,Madhya Pradesh,639725,4825200,5464925,4866494,4866494,279011,1670,534,10/04/2021
257789,482095,224299,0,Madhya Pradesh,61581,420514,482095,660528,482095,11467,1918,7,11/02/2021
421430,943719,522248,278690,Madhya Pradesh,122292,821427,1222409,1072354,943719,31716,2306,41,11/03/2021
2429350,5222120,2792192,615029,Madhya Pradesh,652277,5184872,5837149,5222120,5222120,725864,4548,578,11/04/2021
263033,519589,256549,0,Madhya Pradesh,76489,443100,519589,678715,519589,12108,1945,7,12/02/2021
423443,948278,524793,280309,Madhya Pradesh,122458,825820,1228587,1076991,948278,34525,2514,42,12/03/2021
2610251,5603174,2992300,641351,Madhya Pradesh,658902,5585623,6244525,5603174,5603174,710930,4869,623,12/04/2021
266962,548272,281302,3,Madhya Pradesh,87755,460517,548275,698206,548272,12437,1958,8,13/02/2021
473856,1062458,588548,334560,Madhya Pradesh,125488,936970,1397018,1192284,1062458,36974,2624,54,13/03/2021
2748380,5899933,3150904,658236,Madhya Pradesh,660324,5897845,6558169,5899933,5899933,813940,5055,649,13/04/2021
266979,548466,281479,3,Madhya Pradesh,87757,460709,548469,705923,548466,12803,1962,8,14/02/2021
474849,1064529,589626,334839,Madhya Pradesh,125516,939013,1399368,1193944,1064529,39876,2737,54,14/03/2021
2893799,6202259,3307757,684657,Madhya Pradesh,661830,6225086,6886916,6202259,6202259,841205,5366,703,14/04/2021
269348,565952,296596,5,Madhya Pradesh,94273,471679,565957,728429,565952,12994,1968,8,15/02/2021
530395,1192192,661735,375326,Madhya Pradesh,128144,1064048,1567518,1328145,1192192,43988,2761,62,15/03/2021
2961330,6348519,3386461,708641,Madhya Pradesh,662727,6394433,7057160,6348519,6348519,476241,3266,728,15/04/2021
4368,9435,5066,0,Madhya Pradesh,0,9435,9435,304726,9435,183,156,1,16/01/2021
269664,567586,297914,5,Madhya Pradesh,95034,472552,567591,741811,567586,13481,1981,8,16/02/2021
536127,1204553,668363,377588,Madhya Pradesh,128311,1076242,1582141,1336228,1204553,47086,2850,63,16/03/2021
2981593,6392872,3410549,722760,Madhya Pradesh,663804,6451828,7115632,6392872,6392872,628587,3868,730,16/04/2021
4368,9435,5066,0,Madhya Pradesh,0,9435,9435,306187,9435,458,158,1,17/01/2021
272862,587652,314782,6,Madhya Pradesh,102594,485058,587658,789201,587652,13944,1982,8,17/02/2021
605122,1357620,752416,411580,Madhya Pradesh,130855,1226765,1769200,1493600,1357620,49756,3135,82,17/03/2021
3052493,6546917,3493665,757255,Madhya Pradesh,664846,6639326,7304172,6546917,6546917,584043,4150,759,17/04/2021
9134,15934,6799,0,Madhya Pradesh,0,15934,15934,309206,15934,467,158,1,18/01/2021
273555,598319,324756,9,Madhya Pradesh,107696,490623,598328,727727,598319,14604,1993,8,18/02/2021
671533,1501557,829927,432067,Madhya Pradesh,132920,1368637,1933624,1638340,1501557,52843,3940,97,18/03/2021
3061458,6566352,3504133,763445,Madhya Pradesh,665122,6664675,7329797,6566352,6566352,431730,2790,761,18/04/2021
10341,18409,8067,0,Madhya Pradesh,0,18409,18409,316767,18409,630,160,1,19/01/2021
279169,616782,337605,23,Madhya Pradesh,112750,504032,616805,834805,616782,15120,2000,8,19/02/2021
676662,1512330,835567,433193,Madhya Pradesh,132938,1379392,1945523,1647590,1512330,58953,4956,101,19/03/2021
3122429,6700964,3577751,805419,Madhya Pradesh,685389,6820994,7506383,6700964,6700964,639278,4578,784,19/04/2021
16800,27769,10968,0,Madhya Pradesh,0,27769,27769,320535,27769,798,163,1,20/01/2021
283917,631637,347712,3809,Madhya Pradesh,117418,514219,635446,838030,631637,15420,2004,8,20/02/2021
807150,1784005,976735,456106,Madhya Pradesh,141535,1642470,2240111,1944620,1784005,62866,5172,120,20/03/2021
3133011,6725608,3591813,817311,Madhya Pradesh,692403,6850516,7542919,6725608,6725608,468862,3204,784,20/04/2021
24168,38425,14256,0,Madhya Pradesh,0,38425,38425,324164,38425,798,163,1,21/01/2021
284013,632248,348227,3809,Madhya Pradesh,117779,514469,636057,838177,632248,15687,2010,8,21/02/2021
832116,1834319,1002073,459046,Madhya Pradesh,143903,1690416,2293365,1974848,1834319,67046,5407,130,21/03/2021
3138678,6737838,3598373,828441,Madhya Pradesh,694256,6872023,7566279,6737838,6737838,350020,2337,787,21/04/2021
24168,38425,14256,0,Madhya Pradesh,0,38425,38425,338267,38425,1111,335,1,22/01/2021
285095,635089,349986,31670,Madhya Pradesh,118252,516837,666759,838220,635089,15970,2010,8,22/02/2021
917969,2011652,1093522,471612,Madhya Pradesh,155455,1856197,2483264,2173761,2011652,68954,5440,161,22/03/2021
3189880,6850130,3659443,886674,Madhya Pradesh,703028,7033776,7736804,6850130,6850130,628720,4746,807,22/04/2021
24168,38428,14259,0,Madhya Pradesh,0,38428,38428,346476,38428,1749,491,1,23/01/2021
285287,636139,350844,32634,Madhya Pradesh,118565,517574,668773,838283,636139,16587,2013,8,23/02/2021
946054,2069350,1123125,475060,Madhya Pradesh,160553,1908797,2544410,2213581,2069350,73067,5539,171,23/03/2021
3199738,6871962,3671408,902392,Madhya Pradesh,705551,7068803,7774354,6871962,6871962,308207,2047,816,23/04/2021
24168,38430,14261,0,Madhya Pradesh,0,38430,38430,347914,38430,1816,493,1,24/01/2021
286291,639425,353126,77257,Madhya Pradesh,119504,519921,716682,838561,639425,17424,2015,8,24/02/2021
1063553,2308946,1245190,485522,Madhya Pradesh,177905,2131041,2794468,2458406,2308946,76325,5588,203,24/03/2021
3232300,6942784,3709657,952601,Madhya Pradesh,713166,7182219,7895385,6942784,6942784,551060,4096,827,24/04/2021
43461,66875,23413,0,Madhya Pradesh,0,66875,66875,359509,66875,2294,711,1,25/01/2021
287678,642871,355185,130357,Madhya Pradesh,120126,522745,773228,838609,642871,18289,2015,8,25/02/2021
1128253,2442311,1313840,492086,Madhya Pradesh,191694,2250617,2934397,2591115,2442311,78105,5633,218,25/03/2021
3235596,6949787,3713363,958924,Madhya Pradesh,714407,7194304,7908711,6949787,6949787,74730,425,828,25/04/2021
43461,66877,23415,0,Madhya Pradesh,0,66877,66877,363743,66877,2985,1102,1,26/01/2021
288644,644716,356064,159662,Madhya Pradesh,120373,524343,804378,767644,644716,18440,2015,8,26/02/2021
1131060,2448443,1317162,492513,Madhya Pradesh,192431,2256012,2940956,2596662,2448443,79576,5687,221,26/03/2021
3253341,6988355,3734180,1003182,Madhya Pradesh,721652,7269885,7991537,6988355,6988355,465321,3387,834,26/04/2021
93475,131099,37622,0,Madhya Pradesh,0,131099,131099,383831,131099,3931,1324,2,27/01/2021
288644,644716,356064,159662,Madhya Pradesh,120373,524343,804378,767817,644716,18440,2015,8,27/02/2021
1177644,2546738,1368859,497004,Madhya Pradesh,204657,2342081,3043742,2696586,2546738,81404,5724,235,27/03/2021
3257287,6996487,3738364,1013987,Madhya Pradesh,722336,7288138,8010474,6996487,6996487,368543,2756,836,27/04/2021
139957,192628,52669,0,Madhya Pradesh,0,192628,192628,402228,192628,5111,1457,2,28/01/2021
1179156,2549671,1370279,497238,Madhya Pradesh,205264,2344407,3046909,2698699,2549671,82300,5738,236,28/03/2021
169000,234631,65629,0,Madhya Pradesh,0,234631,234631,423581,234631,6093,1544,2,29/01/2021
1179159,2549681,1370286,497242,Madhya Pradesh,205264,2344417,3046923,2698736,2549681,83980,5759,236,29/03/2021
204275,284782,80503,0,Madhya Pradesh,0,284782,284782,445512,284782,6115,1553,4,30/01/2021
1180056,2551605,1371313,497434,Madhya Pradesh,205278,2346327,3049039,2700674,2551605,89091,5967,236,30/03/2021
204836,285481,80641,0,Madhya Pradesh,0,285481,285481,449242,285481,6287,1565,4,31/01/2021
1246504,2690724,1443966,507960,Madhya Pradesh,214675,2476049,3198684,2842586,2690724,94692,6196,254,31/03/2021
175829,275348,99441,0,Maharashtra,2708,272640,275348,1075255,275348,5753,744,78,01/02/2021
2072376,4557627,2484800,759579,Maharashtra,623749,3933878,5317206,5404881,4557627,195434,6570,451,01/04/2021
180812,284107,103217,0,Maharashtra,2760,281347,284107,1083981,284107,6234,778,78,02/02/2021
487976,1071612,583429,179807,Maharashtra,14917,1056695,1251419,1888015,1071612,29090,1560,207,02/03/2021
2185712,4805368,2619177,772069,Maharashtra,650813,4154555,5577437,5655831,4805368,203302,6757,479,02/04/2021
201467,318918,117360,0,Maharashtra,3170,315748,318918,1106384,318918,6895,830,91,03/02/2021
508266,1119835,611358,197501,Maharashtra,16279,1103556,1317336,1932294,1119835,35097,1892,211,03/03/2021
2296538,5045558,2748524,784171,Maharashtra,669944,4375614,5829729,5924547,5045558,211138,6967,496,03/04/2021
220669,352676,131909,0,Maharashtra,3691,348985,352676,1132718,352676,7584,874,98,04/02/2021
532164,1174258,641880,213731,Maharashtra,18652,1155606,1387989,1986198,1174258,39672,2084,214,04/03/2021
3158056,6841397,3682530,805729,Maharashtra,876863,6770263,7647126,6841397,6841397,525322,3715,811,04/04/2021
245610,397889,152168,0,Maharashtra,3942,393947,397889,1168259,397889,8449,926,111,05/02/2021
563432,1244617,680964,234417,Maharashtra,20513,1224104,1479034,2055271,1244617,46743,2341,221,05/03/2021
3314856,7167016,3851303,822149,Maharashtra,894246,7094919,7989165,7167016,7167016,752060,5159,857,05/04/2021
264525,436229,171578,0,Maharashtra,4205,432024,436229,1222846,436229,9141,955,126,06/02/2021
599889,1325264,725150,259577,Maharashtra,22376,1302888,1584841,2132554,1325264,54326,2757,225,06/03/2021
3436823,7421245,3983541,835795,Maharashtra,906206,7350834,8257040,7421245,7421245,719948,5124,881,06/04/2021
264602,436400,171672,0,Maharashtra,4206,432194,436400,1265771,436400,9455,969,126,07/02/2021
602724,1331000,728051,260448,Maharashtra,22432,1308568,1591448,2138958,1331000,59458,3143,225,07/03/2021
3701369,7988151,4285845,868513,Maharashtra,938502,7918162,8856664,7988151,7988151,748140,5192,937,07/04/2021
282839,475193,192223,0,Maharashtra,4472,470721,475193,1316860,475193,10161,1027,131,08/02/2021
659947,1454112,793934,285711,Maharashtra,27182,1426930,1739823,2264315,1454112,64230,3409,231,08/03/2021
3903507,8434286,4529795,903504,Maharashtra,970024,8367766,9337790,8434286,8434286,723318,5242,984,08/04/2021
293586,503757,210039,0,Maharashtra,4732,499025,503757,1353214,503757,11054,1109,132,09/02/2021
696211,1536355,839907,305927,Maharashtra,29698,1506657,1842282,2346229,1536355,69245,3540,237,09/03/2021
4022623,8702273,4678646,930126,Maharashtra,1000843,8631556,9632399,8702273,8702273,695890,4940,1004,09/04/2021
310353,544726,234241,0,Maharashtra,4877,539849,544726,1395113,544726,12032,1147,132,10/02/2021
765016,1687750,922488,338709,Maharashtra,36551,1651199,2026459,2497828,1687750,74564,3644,246,10/03/2021
4141511,8969876,4827326,953377,Maharashtra,1025624,8897629,9923253,8969876,8969876,626527,4275,1039,10/04/2021
323314,579241,255793,0,Maharashtra,5018,574223,579241,1443232,579241,12846,1205,134,11/02/2021
785912,1734147,947989,348804,Maharashtra,37223,1696924,2082951,2544598,1734147,77797,3700,246,11/03/2021
4257679,9220161,4961415,971735,Maharashtra,1043756,9148140,10191896,9220161,9220161,641340,4292,1067,11/04/2021
338533,620539,281870,0,Maharashtra,5258,615281,620539,1498065,620539,13641,1227,136,12/02/2021
860063,1900122,1039801,383425,Maharashtra,45358,1854764,2283547,2712459,1900122,83421,3761,258,12/03/2021
4394334,9519815,5124361,1008604,Maharashtra,1075618,9452801,10528419,9519815,9519815,722595,4880,1120,12/04/2021
349645,652801,303019,170,Maharashtra,5403,647398,652971,1546635,652801,14251,1239,137,13/02/2021
908680,2006329,1097386,411776,Maharashtra,51243,1955086,2418105,2817264,2006329,88612,3834,263,13/03/2021
4479847,9717561,5236582,1035890,Maharashtra,1086699,9666752,10753451,9717561,9717561,788245,5532,1132,13/04/2021
349702,653135,303296,170,Maharashtra,5403,647732,653305,1555831,653135,14559,1254,137,14/02/2021
911720,2013155,1101171,412322,Maharashtra,52018,1961137,2425477,2823848,2013155,93180,3952,264,14/03/2021
4634179,10038913,5403569,1086062,Maharashtra,1103553,10021422,11124975,10038913,10038913,834266,5854,1165,14/04/2021
360058,682610,322414,4527,Maharashtra,5771,676839,687137,1609707,682610,15389,1270,138,15/02/2021
996578,2198788,1201925,444527,Maharashtra,70402,2128386,2643315,3015787,2198788,98703,4038,285,15/03/2021
4778365,10356338,5576754,1154685,Maharashtra,1129851,10381172,11511023,10356338,10356338,852755,6005,1219,15/04/2021
2057,5726,3668,0,Maharashtra,85,5641,5726,812649,5726,179,174,1,16/01/2021
369626,711043,341277,8901,Maharashtra,6176,704867,719944,1671062,711043,16315,1286,140,16/02/2021
1050150,2318045,1267600,468829,Maharashtra,95792,2222253,2786874,3133701,2318045,104159,4186,295,16/03/2021
4915732,10658902,5741917,1226928,Maharashtra,1161603,10724227,11885830,10658902,10658902,850505,5884,1253,16/04/2021
2566,6521,3953,0,Maharashtra,94,6427,6521,814714,6521,269,216,2,17/01/2021
384760,752088,367162,16607,Maharashtra,6713,745375,768695,1762055,752088,17230,1320,166,17/02/2021
1138601,2509141,1370232,500559,Maharashtra,136887,2372254,3009700,3324908,2509141,110445,4388,308,17/03/2021
4999988,10849828,5848545,1289143,Maharashtra,1206905,10932066,12138971,10849828,10849828,728045,4921,1295,17/04/2021
2581,6151,3569,0,Maharashtra,105,6046,6151,811257,6151,772,320,1,18/01/2021
391467,787086,395447,23820,Maharashtra,7323,779763,810906,1726304,787086,17972,1331,172,18/02/2021
1198684,2643307,1444310,525974,Maharashtra,184321,2458986,3169281,3460018,2643307,115988,4587,313,18/03/2021
5049845,10959390,5908230,1314373,Maharashtra,1225133,11048630,12273763,10959390,10959390,778701,5168,1315,18/04/2021
7367,13699,6328,0,Maharashtra,214,13485,13699,850966,13699,1196,340,4,19/01/2021
409681,825846,415984,27528,Maharashtra,7694,818152,853374,1842069,825846,18682,1343,181,19/02/2021
1272175,2804796,1532302,556400,Maharashtra,229857,2574939,3361196,3630326,2804796,121704,4736,319,19/03/2021
5176641,11240031,6062034,1409299,Maharashtra,1305411,11343919,12649330,11240031,11240031,870145,5816,1356,19/04/2021
14205,23880,9658,0,Maharashtra,439,23441,23880,870296,23880,1547,347,17,20/01/2021
422875,868244,445173,45414,Maharashtra,8295,859949,913658,1851654,868244,19394,1347,196,20/02/2021
1337923,2948586,1610335,589256,Maharashtra,289094,2659492,3537842,3769799,2948586,126710,4868,328,20/03/2021
5268751,11447258,6177116,1497461,Maharashtra,1401015,11543704,12944719,11447258,11447258,899635,6078,1391,20/04/2021
14347,24148,9784,0,Maharashtra,443,23705,24148,880118,24148,1820,357,17,21/01/2021
424540,871567,446831,46395,Maharashtra,8332,863235,917962,1853272,871567,19869,1352,196,21/02/2021
1349534,2974365,1624500,593986,Maharashtra,298970,2675395,3568351,3788740,2974365,130814,5005,331,21/03/2021
5384230,11691829,6306172,1587560,Maharashtra,1457704,11821685,13279389,11691829,11691829,878010,5917,1427,21/04/2021
27802,44369,16546,0,Maharashtra,840,43529,44369,902635,44369,2012,374,21,22/01/2021
434486,907200,472516,67861,Maharashtra,9341,897859,975061,1858133,907200,20789,1368,198,22/02/2021
1427710,3144487,1716433,622278,Maharashtra,357981,2786506,3766765,3973668,3144487,138780,5107,344,22/03/2021
5512485,11966150,6452197,1707683,Maharashtra,1518540,12155293,13673833,11966150,11966150,921785,6287,1468,22/04/2021
43937,69295,25333,0,Maharashtra,1156,68139,69295,921922,69295,2435,483,25,23/01/2021
442893,938078,494986,79336,Maharashtra,10284,927794,1017414,1861115,938078,21730,1380,199,23/02/2021
1497939,3300203,1801912,649748,Maharashtra,412877,2887326,3949951,4116072,3300203,144330,5155,352,23/03/2021
5611811,12184886,6571578,1815052,Maharashtra,1568825,12431113,13999938,12184886,12184886,889740,5950,1497,23/04/2021
44510,70196,25661,0,Maharashtra,1157,69039,70196,925794,70196,2756,581,25,24/01/2021
452680,969314,516434,104475,Maharashtra,11427,957887,1073789,1862473,969314,22574,1386,200,24/02/2021
1585305,3490056,1904378,669780,Maharashtra,458988,3031068,4159836,4307309,3490056,149043,5220,373,24/03/2021
5677836,12326873,6647519,1903104,Maharashtra,1611245,12618732,14229977,12326873,12326873,757640,4899,1518,24/04/2021
68527,107073,38512,0,Maharashtra,1433,105640,107073,950534,107073,3170,617,34,25/01/2021
461032,997308,536075,130773,Maharashtra,12205,985103,1128081,1863176,997308,23689,1395,201,25/02/2021
1655215,3647933,1992336,685120,Maharashtra,491933,3156000,4333053,4466527,3647933,154203,5326,382,25/03/2021
5715713,12404273,6687026,1937912,Maharashtra,1622286,12719899,14342185,12404273,12404273,639205,3985,1534,25/04/2021
68728,107338,38562,0,Maharashtra,1433,105905,107338,952905,107338,3435,646,48,26/01/2021
470681,1028360,557475,158658,Maharashtra,13184,1015176,1187018,1851874,1028360,24016,1399,204,26/02/2021
1745671,3846947,2100879,704824,Maharashtra,522229,3324718,4551771,4669792,3846947,159296,5417,397,26/03/2021
5889111,12768316,6877612,2137509,Maharashtra,1656856,13248969,14905825,12768316,12768316,912735,6173,1593,26/04/2021
96795,150102,53245,0,Maharashtra,1642,148460,150102,980122,150102,4050,668,62,27/01/2021
1825879,4021836,2195548,718212,Maharashtra,547205,3474631,4740048,4841597,4021836,164585,5622,409,27/03/2021
6013031,13030894,7016228,2290836,Maharashtra,1701178,13620552,15321730,13030894,13030894,904295,6071,1635,27/04/2021
122840,189743,66834,0,Maharashtra,1893,187850,189743,1005606,189743,4570,685,69,28/01/2021
470713,1028520,557603,158658,Maharashtra,13184,1015336,1187178,1851875,1028520,24508,1407,204,28/02/2021
1832875,4038355,2205071,718936,Maharashtra,550290,3488065,4757291,4857610,4038355,169139,5689,409,28/03/2021
145999,225132,79060,0,Maharashtra,2193,222939,225132,1032941,225132,4814,702,73,29/01/2021
1849386,4075506,2225708,721465,Maharashtra,556492,3519014,4796971,4895234,4075506,172597,5708,412,29/03/2021
151156,233693,82464,0,Maharashtra,2282,231411,233693,1044581,233693,5150,723,73,30/01/2021
1919677,4224812,2304713,733774,Maharashtra,580307,3644505,4958586,5047577,4224812,181034,5963,422,30/03/2021
151449,234150,82628,0,Maharashtra,2282,231868,234150,1049628,234150,5309,733,73,31/01/2021
1994354,4387945,2393154,749358,Maharashtra,601535,3786410,5137303,5213641,4387945,187143,6265,437,31/03/2021
1740,3321,1581,0,Manipur,0,3321,3321,89301,3321,124,27,0,01/02/2021
26877,83011,56131,31967,Manipur,97,82914,114978,142633,83011,3921,224,3,01/04/2021
1926,3614,1688,0,Manipur,0,3614,3614,89444,3614,140,33,0,02/02/2021
22200,51010,28809,2721,Manipur,39,50971,53731,127746,51010,1375,203,1,02/03/2021
26896,83218,56319,32276,Manipur,97,83121,115494,142798,83218,3966,224,3,02/04/2021
2596,4683,2086,0,Manipur,0,4683,4683,96216,4683,149,37,1,03/02/2021
22381,54240,31858,3127,Manipur,39,54201,57367,128747,54240,1457,206,1,03/03/2021
27056,84124,57065,34027,Manipur,98,84026,118151,143467,84124,4032,224,3,03/04/2021
2759,4882,2122,0,Manipur,0,4882,4882,98233,4882,159,39,1,04/02/2021
22455,56584,34128,3368,Manipur,45,56539,59952,129252,56584,1561,207,1,04/03/2021
27093,83536,56441,34447,Manipur,0,117983,117983,83536,83536,4750,39,2,04/04/2021
3279,5638,2358,0,Manipur,0,5638,5638,102985,5638,185,52,1,05/02/2021
22647,59034,36386,3832,Manipur,47,58987,62866,130076,59034,1691,211,1,05/03/2021
27192,84193,56999,35973,Manipur,0,120166,120166,84193,84193,7900,72,2,05/04/2021
4096,6981,2884,0,Manipur,0,6981,6981,103962,6981,194,55,1,06/02/2021
22893,61879,38985,4539,Manipur,49,61830,66418,131291,61879,1741,213,1,06/03/2021
27282,84616,57332,36895,Manipur,0,121511,121511,84616,84616,8300,75,2,06/04/2021
4182,7085,2902,0,Manipur,0,7085,7085,104991,7085,209,64,1,07/02/2021
22893,61932,39038,4553,Manipur,50,61882,66485,131301,61932,1831,214,1,07/03/2021
27529,85872,58341,39137,Manipur,0,125009,125009,85872,85872,7700,69,2,07/04/2021
5242,8785,3542,0,Manipur,0,8785,8785,106635,8785,236,74,1,08/02/2021
23071,63908,40835,5748,Manipur,53,63855,69656,132128,63908,1905,215,2,08/03/2021
27754,86907,59151,41189,Manipur,0,128096,128096,86907,86907,5350,44,2,08/04/2021
5915,9895,3979,0,Manipur,0,9895,9895,109162,9895,281,98,1,09/02/2021
23172,65521,42347,6099,Manipur,60,65461,71620,132826,65521,2017,215,2,09/03/2021
28065,88290,60223,42653,Manipur,0,130943,130943,88290,88290,10500,90,2,09/04/2021
7377,12509,5131,0,Manipur,0,12509,12509,110565,12509,321,118,1,10/02/2021
23320,66886,43564,7352,Manipur,63,66823,74238,133435,66886,2113,216,2,10/03/2021
