Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
542222,1120551,578224,277977,Andhra Pradesh,149483,971068,1398528,1551088,1120551,164833,5099,105,18/03/2021
1990964,4013140,2021729,599876,Andhra Pradesh,944220,3668796,4613016,4013140,4013140,58100,396,447,18/04/2021
15975,25539,9564,0,Andhra Pradesh,0,25539,25539,280631,25539,2039,828,0,19/01/2021
229118,403279,174122,73226,Andhra Pradesh,39850,363429,476505,1013388,403279,28331,3134,39,19/02/2021
580286,1200656,620257,288195,Andhra Pradesh,162933,1037723,1488851,1632914,1200656,165781,5102,113,19/03/2021
2048468,4140526,2091593,616056,Andhra Pradesh,947164,3809418,4756582,4140526,4140526,297050,1912,465,19/04/2021
24961,35901,10940,0,Andhra Pradesh,135,35766,35901,288452,35901,3111,1125,0,20/01/2021
234535,413818,179244,87470,Andhra Pradesh,41060,372758,501288,1018653,413818,29308,3152,39,20/02/2021
625198,1294501,669181,299229,Andhra Pradesh,180336,1114165,1593730,1726345,1294501,166458,5103,122,20/03/2021
2090498,4234572,2143599,692783,Andhra Pradesh,966614,3960741,4927355,4234572,4234572,274150,2035,475,20/04/2021
32228,45040,12812,0,Andhra Pradesh,395,44645,45040,298734,45040,4286,1342,0,21/01/2021
237293,418634,181302,90410,Andhra Pradesh,41740,376894,509044,1019634,418634,29994,3171,39,21/02/2021
628463,1301331,672744,300650,Andhra Pradesh,182933,1118398,1601981,1729765,1301331,167130,5111,124,21/03/2021
2100050,4257182,2156651,711267,Andhra Pradesh,974969,3993480,4968449,4257182,4257182,275132,2041,481,21/04/2021
39779,55697,15918,0,Andhra Pradesh,573,55124,55697,311109,55697,5151,1412,0,22/01/2021
243679,431789,188071,102718,Andhra Pradesh,43806,387983,534507,1024950,431789,31021,3232,39,22/02/2021
